Efecto del tamaño del caché,,
trace,total_miss,miss_rate
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,1282,0.128%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,471,0.047%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,235,0.024%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,234,0.023%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,234,0.023%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,23729,2.373%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,21467,2.147%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18860,1.886%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,15453,1.545%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,4754,0.475%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,24090,2.409%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,22320,2.232%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21639,2.164%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21370,2.137%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21333,2.133%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,54928,5.493%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,25357,2.536%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,16065,1.607%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,13260,1.326%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,11697,1.170%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,37468,3.747%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,22185,2.219%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,11729,1.173%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,3264,0.326%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,1184,0.118%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,111595,11.159%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,110372,11.037%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107254,10.725%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,100313,10.031%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,93056,9.306%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22154,2.215%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22119,2.212%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,5119,0.512%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4700,0.470%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4248,0.425%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,3757,0.376%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,3103,0.310%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,110294,11.029%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,63487,6.349%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4344,0.434%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,3717,0.372%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,2882,0.288%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,21166,2.117%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,14345,1.435%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,4368,0.437%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,1133,0.113%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,991,0.099%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,63246,6.325%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,33628,3.363%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,11407,1.141%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,3230,0.323%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,1439,0.144%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,76096,7.610%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,72354,7.235%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67734,6.773%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,61798,6.180%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,55180,5.518%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,37171,3.717%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,29787,2.979%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,25001,2.500%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,12368,1.237%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,2918,0.292%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,520,0.052%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,469,0.047%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,418,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,418,0.042%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,11317,1.132%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,9333,0.933%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,4097,0.410%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,3343,0.334%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,2960,0.296%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,36554,3.655%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,21201,2.120%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6924,0.692%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,1742,0.174%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,1220,0.122%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,22920,2.292%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,18982,1.898%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17978,1.798%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17753,1.775%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17753,1.775%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,2855,0.285%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,557,0.056%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28140,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35913,3.591%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,23809,2.381%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,91543,9.154%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,73374,7.337%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,27971,2.797%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,17547,1.755%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,16512,1.651%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4765,0.476%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4640,0.464%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4449,0.445%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,3716,0.372%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,2866,0.287%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,5962,0.596%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,5123,0.512%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3834,0.383%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,2814,0.281%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,2760,0.276%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,15856,1.586%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,12627,1.263%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11943,1.194%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11364,1.136%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,10660,1.066%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20714,2.071%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20650,2.065%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20642,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20639,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20637,2.064%
Efecto de la asociatividad del caché,,
trace,total_miss,miss_rate
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,12824,1.282%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,878,0.088%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,297,0.030%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,235,0.024%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,237,0.024%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,24342,2.434%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,19591,1.959%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,19086,1.909%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18860,1.886%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18662,1.866%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,86183,8.618%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,24232,2.423%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21681,2.168%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21639,2.164%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21479,2.148%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,87220,8.722%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,84326,8.433%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,85452,8.545%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,16065,1.607%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,12023,1.202%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,36143,3.614%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,20316,2.032%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,14819,1.482%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,11729,1.173%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,10149,1.015%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,108020,10.802%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,106950,10.695%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107141,10.714%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107254,10.725%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107586,10.759%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,23826,2.383%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22087,2.209%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,5836,0.584%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4606,0.461%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4301,0.430%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4248,0.425%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4200,0.420%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,57423,5.742%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,12930,1.293%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,11778,1.178%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4344,0.434%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4205,0.420%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,6676,0.668%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,4692,0.469%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,13666,1.367%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,7402,0.740%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,5561,0.556%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,4368,0.437%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,3657,0.366%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,33497,3.350%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,20133,2.013%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,14747,1.475%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,11407,1.141%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,10592,1.059%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,73165,7.316%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,70424,7.042%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67836,6.784%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67734,6.773%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67457,6.746%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,31524,3.152%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,26293,2.629%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,24832,2.483%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,25001,2.500%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,25338,2.534%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,483,0.048%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,440,0.044%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,10465,1.046%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,7094,0.709%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,4504,0.450%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,4097,0.410%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,3680,0.368%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,15312,1.531%
