Efecto del tamaño del caché,,
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,10952,1.095%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,8366,0.837%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6924,0.692%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6564,0.656%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,27302,2.730%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,26505,2.651%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,25213,2.521%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17978,1.798%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17753,1.775%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,18615,1.861%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,5350,0.535%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,867,0.087%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,581,0.058%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,30249,3.025%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,45288,4.529%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,36744,3.674%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,55645,5.564%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,45323,4.532%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,37568,3.757%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,27971,2.797%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,22034,2.203%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,5998,0.600%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4749,0.475%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4789,0.479%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4449,0.445%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4487,0.449%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,7091,0.709%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,4101,0.410%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3876,0.388%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3834,0.383%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3885,0.389%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,22693,2.269%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,13275,1.327%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,12179,1.218%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11943,1.194%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11930,1.193%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,23191,2.319%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20679,2.068%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20644,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20642,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20641,2.064%
Efecto del tamaño del bloque en el caché,,
trace,total_miss,miss_rate
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,526,0.053%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,340,0.034%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,235,0.024%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,233,0.023%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,9561,0.956%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,17694,1.769%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18860,1.886%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,19963,1.996%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,78080,7.808%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,41006,4.101%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21639,2.164%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,11183,1.118%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,50241,5.024%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,27735,2.773%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,16065,1.607%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,11265,1.127%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,10959,1.096%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,10637,1.064%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,11729,1.173%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,12152,1.215%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,131010,13.101%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,137416,13.742%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107254,10.725%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,108355,10.835%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,75018,7.502%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,39729,3.973%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,13260,1.326%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,8764,0.876%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,5777,0.578%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4248,0.425%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,3542,0.354%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,16435,1.643%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,8270,0.827%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4344,0.434%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,13844,1.384%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,15830,1.583%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,7922,0.792%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,1990,0.199%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,6807,0.681%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,3861,0.386%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,4368,0.437%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,4467,0.447%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,18017,1.802%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,13136,1.314%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,11407,1.141%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,11074,1.107%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,96565,9.656%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,78884,7.888%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67734,6.773%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,60452,6.045%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,41400,4.140%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,31895,3.189%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,25001,2.500%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,18098,1.810%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,1351,0.135%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,738,0.074%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,250,0.025%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,14708,1.471%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,7632,0.763%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,4097,0.410%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,2286,0.229%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,7404,0.740%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6556,0.656%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6924,0.692%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,9076,0.908%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,69706,6.971%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,35210,3.521%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17978,1.798%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,9353,0.935%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,70583,7.058%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,35294,3.529%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,8826,0.883%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,2060,0.206%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,1044,0.104%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,311,0.031%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,112252,11.225%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,56179,5.618%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,14109,1.411%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,63270,6.327%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,45724,4.572%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,24989,2.499%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,33787,3.379%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,26114,2.611%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,27971,2.797%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,39869,3.987%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,7408,0.741%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,5442,0.544%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4449,0.445%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,3890,0.389%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,13350,1.335%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,7187,0.719%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3834,0.383%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,2081,0.208%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,34498,3.450%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,19752,1.975%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11943,1.194%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,8039,0.804%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,36458,3.646%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,28832,2.883%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20642,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,13666,1.367%
Efecto de la política de reemplazo del caché,,
trace,total_miss,miss_rate
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,235,0.024%
/home/yo/tarea4estructuras/traces/400.perlbench-41B.trace.txt.gz,247,0.025%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18860,1.886%
/home/yo/tarea4estructuras/traces/401.bzip2-226B.trace.txt.gz,18516,1.852%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,21639,2.164%
/home/yo/tarea4estructuras/traces/403.gcc-16B.trace.txt.gz,28452,2.845%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,16065,1.607%
/home/yo/tarea4estructuras/traces/410.bwaves-1963B.trace.txt.gz,25913,2.591%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,11729,1.173%
/home/yo/tarea4estructuras/traces/416.gamess-875B.trace.txt.gz,11313,1.131%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107254,10.725%
/home/yo/tarea4estructuras/traces/429.mcf-184B.trace.txt.gz,107504,10.750%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22083,2.208%
/home/yo/tarea4estructuras/traces/433.milc-127B.trace.txt.gz,22365,2.236%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4248,0.425%
/home/yo/tarea4estructuras/traces/435.gromacs-111B.trace.txt.gz,4712,0.471%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4344,0.434%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,9668,0.967%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,4392,0.439%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,4368,0.437%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,5195,0.519%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,11407,1.141%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,16060,1.606%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67734,6.773%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,71436,7.144%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,25001,2.500%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,26311,2.631%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,421,0.042%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,4097,0.410%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,5811,0.581%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6924,0.692%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,9200,0.920%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17978,1.798%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,21700,2.170%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17789,1.779%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,590,0.059%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28396,2.840%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,38764,3.876%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,27971,2.797%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,37203,3.720%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4449,0.445%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,5043,0.504%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3834,0.383%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,4510,0.451%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11943,1.194%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,14006,1.401%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20642,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,21921,2.192%
